,title,url,org,candid_name,num_tweets,num_tweets_all,sentiment_mean,wc,negativ_ct,positiv_ct,negativ_percent,positiv_percent,emotionality,positivity
90,TRUMP'S OUT Campaign says he won't participate in Fox debate,http://www.foxnews.com/politics/2016/01/27/trump-campaign-says-candidate-won-t-participate-in-fox-newsgoogle-debate.html,fox,Kasich,1,109.0,-0.0183486230671,950,2,5,0.00210526315789,0.00526315789474,0.00736842105263,0.00315789473684
91,"Trump previews fight with Rubio, calls Cruz a 'nervous wreck'",http://www.cnn.com/2016/02/24/politics/donald-trump-gop-nomination-ted-cruz-marco-rubio/index.html,cnn,Kasich,1,41.0,-1.0,466,6,3,0.0128755364807,0.00643776824034,0.019313304721,-0.00643776824034
92,"GOP senators: If Cruz wins, we lose",http://www.cnn.com/2016/01/21/politics/ted-cruz-senate-revolt/index.html,cnn,Kasich,1,357.0,0.691876769066,1092,14,12,0.0128205128205,0.010989010989,0.0238095238095,-0.0018315018315
93,'Pawn Stars' celeb pushes Rubio as a 'good investment',http://www.politico.com/story/2016/01/pawn-stars-marco-rubio-218057,politico,Kasich,1,10.0,0.0,1488,6,14,0.00403225806452,0.00940860215054,0.0134408602151,0.00537634408602
94,Trump's Muslim backers celebrate his success,http://www.cnn.com/2016/04/28/politics/trump-muslim-voters-support/index.html,cnn,Kasich,1,39.0,1.0,24,1,0,0.0416666666667,0.0,0.0416666666667,-0.0416666666667
95,Clinton on rumors: We'll take stock,http://www.cnn.com/2016/02/08/politics/clinton-shakeup-rumors-take-stock/index.html,cnn,Kasich,1,68.0,-0.117647059262,708,4,9,0.00564971751412,0.0127118644068,0.0183615819209,0.00706214689266
96,WATCH: Dark New GOP Campaign Ads Stress Threat Of ISIS,http://www.npr.org/2016/01/04/461908611/watch-dark-new-gop-campaign-ads-stress-threat-of-isis,npr,Kasich,1,63.0,-0.444444447756,723,11,6,0.015214384509,0.00829875518672,0.0235131396957,-0.00691562932227
97,How Marco Rubio turned it around in South Carolina,http://www.cnn.com/2016/02/21/politics/marco-rubio-south-carolina-finish-strategy/index.html,cnn,Kasich,1,30.0,0.0333333350718,1166,4,15,0.00343053173242,0.0128644939966,0.016295025729,0.00943396226415
98,"Donald Trump talks up his 'great conversation' with Mitch McConnell, Paul Ryan",http://www.cnn.com/2016/03/16/politics/donald-trump-mitch-mcconnell-paul-ryan-call/index.html,cnn,Kasich,1,24.0,0.5,231,5,3,0.021645021645,0.012987012987,0.034632034632,-0.00865800865801
99,Who is Larry Tribe and why are Trump and Cruz talking about him?,http://www.cnn.com/2016/01/14/politics/larry-tribe-donald-trump-ted-cruz-gop-debate/index.html,cnn,Kasich,2,33.0,0.0,307,2,8,0.00651465798046,0.0260586319218,0.0325732899023,0.0195439739414
100,South Carolina's lieutenant governor to endorse Trump,http://www.cnn.com/2016/01/27/politics/donald-trump-endorsement-south-carolina-henry-mcmaster/index.html,cnn,Kasich,2,61.0,0.622950792313,194,0,5,0.0,0.0257731958763,0.0257731958763,0.0257731958763
101,5 takeaways from CNN's GOP town hall,http://www.cnn.com/2016/02/18/politics/republican-town-hall-takeaways/index.html,cnn,Kasich,2,134.0,0.0373134315014,1412,13,27,0.00920679886686,0.0191218130312,0.028328611898,0.00991501416431
102,Cruz seizes on eminent domain for contrast with Trump in New Hampshire,http://www.cnn.com/2016/01/22/politics/cruz-eminent-domain-trump/index.html,cnn,Kasich,2,53.0,0.924528300762,740,9,10,0.0121621621622,0.0135135135135,0.0256756756757,0.00135135135135
103,Why Muslim Americans and Latinos should support Trump (Opinion),http://www.cnn.com/2016/03/28/opinions/latino-muslim-support-trump-opinion-obeidallah/index.html,cnn,Kasich,1,20.0,1.0,98,1,0,0.0102040816327,0.0,0.0102040816327,-0.0102040816327
104,DONALD DUCKS Rivals seize on Trump decision to skip Fox debate,http://www.foxnews.com/politics/2016/01/27/republican-rivals-seize-on-trump-decision-to-skip-debate.html,fox,Kasich,1,148.0,-0.979729712009,720,4,2,0.00555555555556,0.00277777777778,0.00833333333333,-0.00277777777778
105,Trump: I'm not sure Rubio is eligible for presidency,http://www.cnn.com/2016/02/21/politics/donald-trump-marco-rubio-eligibility/index.html,cnn,Kasich,1,25.0,0.959999978542,484,3,1,0.00619834710744,0.00206611570248,0.00826446280992,-0.00413223140496
106,What Donald Trump and Bernie Sanders have in common,https://www.washingtonpost.com/opinions/the-rising-pull-of-the-change-candidates/2016/01/28/e95276b8-c5f1-11e5-8965-0607e0e265ce_story.html,washpo,Kasich,1,29.0,0.0344827584922,810,14,14,0.0172839506173,0.0172839506173,0.0345679012346,0.0
107,The Trump Jokes Aren't Funny Anymore,http://www.huffingtonpost.com/hannan-khan/the-trump-jokes-arent-funny-anymore_b_9349720.html,huffpo,Kasich,2,11.0,0.909090936184,857,8,9,0.00933488914819,0.0105017502917,0.0198366394399,0.00116686114352
108,Republicans to face off at CNN debate,http://www.cnn.com/2016/03/10/politics/republican-debate-highlights/index.html,cnn,Kasich,1,75.0,-0.0933333337307,432,4,6,0.00925925925926,0.0138888888889,0.0231481481481,0.00462962962963
109,Florida newspaper won't endorse any GOP candidate,http://www.cnn.com/2016/03/07/politics/sun-sentinel-florida-republican-no-endorsement/index.html,cnn,Kasich,1,38.0,-0.631578922272,399,4,9,0.0100250626566,0.0225563909774,0.0325814536341,0.0125313283208
110,'It's Game Time' For Chris Christie In New Hampshire,http://www.npr.org/2016/01/06/462129067/its-game-time-for-chris-christie-in-new-hampshire,npr,Kasich,1,17.0,0.764705896378,839,5,11,0.00595947556615,0.0131108462455,0.0190703218117,0.00715137067938
111,Key aide may have cemented Donald Trump-Sarah Palin union,http://www.cnn.com/2016/01/20/politics/donald-trump-sarah-palin-michael-glassner/index.html,cnn,Kasich,1,35.0,0.228571429849,212,3,1,0.0141509433962,0.00471698113208,0.0188679245283,-0.00943396226415
112,"As Caucus Day Nears, Trump And Cruz Make Big Push In Iowa",http://www.npr.org/2016/01/23/464124988/as-caucus-day-nears-trump-and-cruz-make-big-push-in-iowa,npr,Kasich,1,43.0,0.0465116277337,25,1,0,0.04,0.0,0.04,-0.04
113,Trump offers bleak assessment of country ahead of Obama's speech,http://www.cnn.com/2016/01/12/politics/donald-trump-obama-state-of-the-union/index.html,cnn,Kasich,1,11.0,0.727272748947,738,15,6,0.020325203252,0.00813008130081,0.0284552845528,-0.0121951219512
114,Hillary Clinton And Jeb Bush Agree On At Least One Thing,http://www.npr.org/2016/01/20/463728689/hillary-clinton-and-jeb-bush-agree-on-at-least-one-thing,npr,Kasich,1,55.0,0.890909075737,575,1,8,0.00173913043478,0.0139130434783,0.015652173913,0.0121739130435
115,Trump And Supporters Hit Back At Nikki Haley's Jabs,http://www.npr.org/2016/01/13/462909210/trump-and-supporters-hit-back-at-nikki-haleys-jabs,npr,Kasich,1,64.0,0.015625,488,8,1,0.016393442623,0.00204918032787,0.0184426229508,-0.0143442622951
116,"Trump, Cruz warn of brokered convention chaos",http://www.cnn.com/2016/03/16/politics/donald-trump-ted-cruz-brokered-convention/index.html,cnn,Kasich,1,143.0,-0.419580429792,574,5,4,0.00871080139373,0.00696864111498,0.0156794425087,-0.00174216027875
117,How Rubio plans to take on Trump,http://www.cnn.com/2016/01/26/politics/marco-rubio-donald-trump-establishment/index.html,cnn,Kasich,1,31.0,0.193548381329,1114,6,16,0.00538599640934,0.0143626570916,0.0197486535009,0.00897666068223
118,Trump on Cruz citizenship: 'It's not a settled matter',http://www.cnn.com/2016/01/11/politics/donald-trump-ted-cruz-attack-immigration-citizenship/index.html,cnn,Kasich,1,30.0,0.133333340287,253,2,2,0.00790513833992,0.00790513833992,0.0158102766798,0.0
119,Trump flouts political convention in response to Brussels attacks,http://www.cnn.com/2016/03/22/politics/donald-trump-reaction-brussels-terrorist-attacks/index.html,cnn,Kasich,2,64.0,-0.421875,692,16,9,0.0231213872832,0.0130057803468,0.0361271676301,-0.0101156069364
120,Political Prediction Market: Trump's odds for the nomination are slipping,http://www.cnn.com/2016/01/04/politics/donald-trump-political-prediction-market/index.html,cnn,Kasich,1,53.0,0.150943398476,208,0,0,0.0,0.0,0.0,0.0
121,Donald Trump stays on the offensive against Ted Cruz,http://www.cnn.com/2016/01/15/politics/donald-trump-ted-cruz-jeb-bush/index.html,cnn,Kasich,2,42.0,0.095238097012,327,3,1,0.00917431192661,0.00305810397554,0.0122324159021,-0.00611620795107
