,url,org,num_tweets
218,http://www.foxnews.com/politics/2016/01/10/republican-fear-losing-senate-but-so-far-just-close-races-with-democrats-having-no-clear-advantage.html,fox,117
220,http://www.cnn.com/2016/01/19/politics/ted-cruz-marco-rubio-new-hampshire/index.html,cnn,35
221,http://www.politico.com/story/2016/01/ted-cruz-ethanol-iowa-218016,politico,22
222,http://www.npr.org/2016/01/14/463122161/gop-debate-trump-at-center-stage-once-again,npr,25
223,http://www.politico.com/story/2016/01/hillary-clinton-emails-rope-line-question-218088,politico,46
224,http://blogs.wsj.com/washwire/2016/01/26/house-conservatives-travel-to-iowa-for-ted-cruz/,wsj,29
225,http://www.foxnews.com/politics/2016/01/22/fox-news-poll-trump-cruz-top-gop-race-few-have-birther-concerns.html,fox,282
226,http://www.politico.com/story/2016/01/martin-omalley-iowa-caucuses-sanders-clinton-218486,politico,12
227,http://www.cnn.com/2016/01/31/politics/donald-trump-ted-cruz-health-care-obamacare/index.html,cnn,197
228,http://www.cnn.com/2016/02/03/politics/new-hampshire-democratic-town-hall-what-to-watch/index.html,cnn,107
229,http://www.cnn.com/2016/01/28/politics/donald-trump-2016-election-rally-gop-debate/index.html,cnn,436
230,http://www.foxnews.com/politics/2016/02/03/donald-trump-admits-skipping-debate-may-have-hurt-him-in-iowa.html,fox,45
231,http://www.cnn.com/2016/02/01/politics/iowa-caucuses-2016-highlights/index.html,cnn,364
232,https://www.washingtonpost.com/opinions/marco-rubio-is-running-scared/2016/02/03/787074bc-caca-11e5-a7b2-5a2f824b02c9_story.html,washpo,46
234,http://www.cnn.com/2016/02/08/politics/new-hampshire-primary-independent-voters/index.html,cnn,24
235,http://www.cnn.com/2016/02/18/politics/south-carolina-gop-polling-snapshot/index.html,cnn,98
236,http://www.foxnews.com/politics/2016/02/15/george-w-hits-campaign-trail-amid-taunts-from-trump-over-his-legacy.html,fox,49
237,http://blogs.wsj.com/washwire/2016/02/16/for-2016-candidates-participating-in-a-senate-vote-is-a-calculated-risk/,wsj,12
239,http://www.cnn.com/2016/02/22/politics/donald-trump-nevada-rally/index.html,cnn,114
240,http://www.cnn.com/2016/02/22/politics/marco-rubio-nevada-caucus-strategy/index.html,cnn,93
241,http://www.cnn.com/2016/02/28/politics/ted-cruz-trump-will-lose-to-hillary-clinton/index.html,cnn,36
242,http://www.foxnews.com/politics/2016/02/26/rubio-cruz-tag-team-trump-at-fiery-gop-debate.html,fox,28
244,http://www.cnn.com/2016/03/07/politics/primary-caucus-takeaways-weekend-2016-election/index.html,cnn,79
245,http://www.foxnews.com/politics/2016/03/05/gop-dem-candidates-gear-up-for-weekend-primaries-caucuses.html,fox,103
247,http://www.cnn.com/2016/03/13/election-center-2016/ip-forecast-trump-ad/index.html,cnn,30
248,http://www.cnn.com/2016/03/16/politics/donald-trump-ted-cruz-brokered-convention/index.html,cnn,143
249,http://www.cnn.com/2016/03/18/politics/donald-trump-republican-conservatives/index.html,cnn,147
252,http://www.cnn.com/2016/04/28/politics/donald-trump-foreign-policy-woman-card/index.html,cnn,19
253,http://www.politico.com/story/2016/01/donald-trump-campaign-energy-217386,politico,34
254,http://www.politico.com/story/2016/01/new-clinton-ad-217538,politico,12
255,http://www.cnn.com/2016/01/10/politics/ted-cruz-immigration-deportation-guns-terrorism/index.html,cnn,71
256,http://www.cnn.com/2016/01/09/politics/hillary-clinton-republicans-defense-ad/index.html,cnn,69
257,http://www.cnn.com/2016/01/19/politics/terry-branstad-ted-cruz-defeat/index.html,cnn,147
258,http://www.cnn.com/2016/01/21/politics/donald-trump-ted-cruz-las-vegas-establishment/index.html,cnn,32
259,http://www.politico.com/blogs/live-from-charleston/2016/01/republican-debate-fear-south-carolina-217827,politico,22
261,http://www.cnn.com/2016/01/21/politics/ron-paul-rand-paul-iowa-campaign/index.html,cnn,18
262,http://www.cnn.com/2016/02/02/opinions/republican-iowa-results-stanley/index.html,cnn,19
264,http://www.cnn.com/2016/01/29/politics/iowa-caucuses-donald-trump-ted-cruz-marco-rubio-jeb-bush/index.html,cnn,308
265,http://www.politico.com/magazine/story/2016/01/donald-trump-is-shocking-vulgar-and-right-213572,politico,901
266,http://www.cnn.com/2016/02/10/politics/who-is-john-kasich/index.html,cnn,115
268,http://www.cnn.com/2016/02/25/politics/republican-debate-fact-check/index.html,cnn,119
269,http://www.cnn.com/2016/02/27/politics/marco-rubio-tax-returns/index.html,cnn,35
271,http://www.nytimes.com/live/republican-debate-cnn-february-2016/,nyt,38
272,http://money.cnn.com/2016/02/29/news/economy/hillary-clinton-donald-trump-2016-gas/index.html,cnn,67
273,http://www.cnn.com/2016/02/29/politics/super-tuesday-republicans-democrats-vote/index.html,cnn,253
275,http://www.cnn.com/2016/03/07/politics/sun-sentinel-florida-republican-no-endorsement/index.html,cnn,38
276,http://www.cnn.com/2016/03/14/politics/marco-rubio-florida-campaign/index.html,cnn,105
279,http://www.cnn.com/2016/04/07/opinions/trump-protectionism-khanna/index.html,cnn,42
281,http://www.cnn.com/2016/04/18/politics/donald-trump-diversity-coalition-meet/index.html,cnn,38
282,http://www.cnn.com/2016/01/04/politics/chris-christie-new-hampshire-speech/index.html,cnn,21
283,http://www.foxnews.com/politics/2016/01/11/gop-candidate-line-up-announced-for-fox-business-network-debate.html,fox,158
284,http://www.foxnews.com/politics/2016/01/17/at-tea-party-rally-in-south-carolina-top-gop-candidates-make-pitch-for-support.html,fox,134
285,http://www.politico.com/magazine/story/2016/01/how-to-take-trump-the-bully-down-213536,politico,74
286,http://www.foxnews.com/politics/2016/01/14/republican-leaders-caught-in-crossfire-haley-trump-feud.html,fox,55
287,http://blogs.wsj.com/washwire/2016/01/28/thursdays-republican-debates-live-blog/,wsj,57
288,http://www.politico.com/story/2016/01/donald-rumsfeld-jeb-george-h-w-bush-218177,politico,14
289,http://www.cnn.com/2016/02/04/politics/donald-trump-new-hampshire-2016/index.html,cnn,82
290,http://www.politico.com/story/2016/02/does-canada-like-trump-219017,politico,10
291,http://www.foxnews.com/politics/2016/02/12/trump-pope-doesnt-understand-us-mexico-immigration-issue.html,fox,26
292,https://www.washingtonpost.com/opinions/the-unacceptable-mr-trump/2016/02/10/541fc2ea-d018-11e5-abc9-ea152f0b9561_story.html,washpo,96
293,http://www.cnn.com/2016/02/19/politics/nevada-democrats-2016-loneliest-road/index.html,cnn,65
294,http://www.cnn.com/2016/02/17/politics/republican-town-hall-what-to-watch/index.html,cnn,156
297,http://www.cnn.com/2016/03/08/politics/primary-election-what-to-watch/index.html,cnn,80
299,http://www.cnn.com/2016/03/21/politics/cnn-final-five-western-tuesday/index.html,cnn,76
300,http://www.cnn.com/2016/03/22/politics/donald-trump-reaction-brussels-terrorist-attacks/index.html,cnn,64
302,http://www.cnn.com/2016/03/23/politics/jeb-bush-ted-cruz-endorsement/index.html,cnn,116
303,http://www.cnn.com/2016/03/28/opinions/latino-muslim-support-trump-opinion-obeidallah/index.html,cnn,20
304,http://www.foxnews.com/politics/2016/04/22/trump-surrogates-say-gop-front-runner-projecting-image-during-primaries.html,fox,37
305,http://www.politico.com/story/2016/01/carly-fiorina-trump-217350,politico,28
307,http://www.politico.com/story/2016/01/rand-paul-undercard-debate-217523,politico,31
308,http://www.politico.com/story/2016/01/bob-gates-gop-2016-217961,politico,117
309,http://www.politico.com/story/2016/01/ron-paul-donald-trump-218046,politico,31
312,http://www.cnn.com/2016/01/28/politics/republican-debate-2016-what-to-watch/index.html,cnn,105
314,http://www.cnn.com/2016/02/04/politics/new-hampshire-republican-cnn-wmur-poll/index.html,cnn,53
316,http://www.cnn.com/2016/02/17/opinions/will-republicans-return-to-reagan-on-immigration-palomarez/index.html,cnn,73
317,http://www.foxnews.com/politics/2016/02/25/romney-stands-by-trump-tax-criticism-though-offers-no-proof.html,fox,95
319,http://www.cnn.com/2016/02/21/politics/donald-trump-predicts-hillary-clinton-highest-turnout/index.html,cnn,162
321,http://www.cnn.com/2016/03/14/politics/john-kasich-hillary-clinton-lead-ohio-monmouth-poll/index.html,cnn,50
325,https://www.washingtonpost.com/news/the-fix/wp/2016/04/07/california-is-the-most-important-state-left-for-donald-trump-and-he-just-got-some-bad-news/,washpo,23
327,http://www.cnn.com/2016/04/26/politics/primary-results-highlights/index.html,cnn,106
328,http://www.cnn.com/2016/01/07/politics/jeb-bush-donald-trump-new-hampshire/index.html,cnn,113
329,http://www.cnn.com/2016/01/19/politics/donald-trump-endorsement-sarah-palin/index.html,cnn,245
330,http://www.cnn.com/2016/01/22/politics/donald-trump-five-stages-grief/index.html,cnn,63
331,http://www.cnn.com/2016/01/27/politics/anne-frank-donald-trump-adolf-hitler/index.html,cnn,445
333,http://www.cnn.com/2016/01/30/politics/iowa-trump-cruz-dubuque/index.html,cnn,69
334,http://www.npr.org/2016/02/02/465193561/cruz-wins-iowa-republican-caucus-clinton-sanders-still-too-close-to-call,npr,73
335,http://www.foxnews.com/politics/2016/02/02/cruz-wins-iowa-gop-caucuses-clinton-sanders-race-too-close-to-call.html,fox,97
337,http://www.cnn.com/2016/02/26/opinions/gop-texas-debate-rubio-trump-cruz-opinion-sexton/index.html,cnn,13
338,http://www.cnn.com/2016/02/26/politics/chris-christie-endorses-donald-trump/index.html,cnn,71
339,http://www.cnn.com/2016/03/05/politics/delegate-math-rubio-kasich-trump-cruz/index.html,cnn,31
342,http://www.cnn.com/2016/03/06/politics/marco-rubio-defends-donald-trump-attacks/index.html,cnn,16
344,http://www.cnn.com/2016/03/05/politics/kansas-kentucky-louisiana-maine-nebraska-highlights/index.html,cnn,185
